artifact_id,path,exists,kind,size_bytes,sha256,evidence_role
p3_formal_uefb_m0_m5_summary,results/tables/p3_formal_uefb_m0_m5_summary.json,True,json,9782,d6ff31af04da2ddb7d244527c510ca4ba506174c6de8e100a82cc3f8a9deeff6,source_metric_or_prior_audit
p3b_joint_m4_summary,results/tables/p3b_joint_m4_summary.json,True,json,3798,7c6b212cae0fbfe1613e9143dcbb769bb4e5204a5ff79c58ca6291feb92a05fc,source_metric_or_prior_audit
p3c_multiseed_sweep_summary,results/tables/p3c_multiseed_sweep_summary.json,True,json,10637,e0b53bc5109a6ae7616359d9f79a3c084e34c4865cf36a4413eaa6d25e7bfccf,source_metric_or_prior_audit
p3c_multiseed_sweep_aggregate,results/tables/p3c_multiseed_sweep_aggregate.json,True,json,2119,c641c4800f31217d81fba109b2b678e3f2568c87f307c9fd69e35b3fb45c175a,source_metric_or_prior_audit
p3d_e010_multiseed_summary,results/tables/p3d_e010_multiseed_summary.csv,True,csv,3727,921965c6794d74d828789917900f439efe9d8b38907fe28cb4dde87b00cdd537,source_metric_or_prior_audit
p4_official_baselines_summary,results/tables/p4_official_baselines_summary.json,True,json,2973,4bdecfabb8fed4b82bd838f4ed460c6425fb36aac0106345dafc0e37249b051e,source_metric_or_prior_audit
dgb_branch_consolidation_summary,results/tables/dgb_branch_consolidation_summary.json,True,json,16348,dedcd410e284b376cd886990a6ec5ea6799513e151d959f71629c81bc9bd2516,source_metric_or_prior_audit
final_main_table,results/hermes_audit/tables/final_main_table.csv,True,csv,2163,035542325fd8780e0c1ee936be373459bc03751f8804b53f1f3a584556dbd0cc,source_metric_or_prior_audit
final_ablation_table,results/hermes_audit/tables/final_ablation_table.csv,True,csv,1372,6e7d6ed245ad8d2f511ac7425afad80ac12e2b7a87f43798a28f917cdc47d012,source_metric_or_prior_audit
noref_supplementary_summary,results/hermes_audit/tables/noref_supplementary_summary.csv,True,csv,1829,a57e221600de74ef2099710f751ab9ee2151c2117cea2d571b1719497a78a525,source_metric_or_prior_audit
M4_config,configs/p3_formal/p3formal_m4_gate.yml,True,config,914,52eb0a8938dba2f8a532b3871c15bd510b9ef8e3ea7ab58facfa5fc992c2ca6c,counterexample
M4_checkpoint,experiments/p3formal_m4_gate_seed3407/checkpoints/last.pth,True,checkpoint,725270,6be7a031f9ed66ed4de68c8c921909e1a301daeac42018d24621929ca01e6e9b,counterexample
M4J_config,configs/p3b_joint/p3b_m4j_m4_joint.yml,True,config,1468,6c1e0ce27c27753b4ea0fae508b7cd6a3aea7f488ec22ac798e09cc8290e6783,joint_baseline
M4J_checkpoint,experiments/p3b_m4j_m4_joint_seed3407/checkpoints/last.pth,True,checkpoint,725910,d45745f318f34f70faf81190c454cd259d812e35d2d2bf53501d2176ee1de58c,joint_baseline
M4J_ES_config,configs/p3b_joint/p3b_m4j_es_m4_joint_eshape.yml,True,config,1514,d92d30ae099a46ba44a0983d73aa0ae5db890f34ca1c3eff3cb5259d0cbe2059,centered_shape_positive
M4J_ES_checkpoint,experiments/p3b_m4j_es_m4_joint_eshape_seed3407/checkpoints/last.pth,True,checkpoint,725974,c137c35389a0e2861f4fa302d8afb4279e1b548c3f97dcffe2c1fb4bc2747a43,centered_shape_positive
P3C_E0050_S42_config,configs/p3c_multiseed_sweep/p3c_m4j_es_seed42_e0050.yml,True,config,1590,d16796b0d7ce565fd239b83b8651e525403592f4aced6a74139cce4d43c8ae9b,default_3seed
P3C_E0050_S42_checkpoint,experiments/p3c_m4j_es_seed42_e0050/checkpoints/last.pth,True,checkpoint,726102,d54b9f7ea3a8a9e113733886178e2126eceba65372587623eb10b937084a8143,default_3seed
P3C_E0050_S2027_config,configs/p3c_multiseed_sweep/p3c_m4j_es_seed2027_e0050.yml,True,config,1594,1bb92244eabf0e686eeec4b182a8c6befab2a8bbea0f5cc7f5f0fb41285622d0,default_3seed
P3C_E0050_S2027_checkpoint,experiments/p3c_m4j_es_seed2027_e0050/checkpoints/last.pth,True,checkpoint,726102,deb725213022a44383f8d3017c2f9da11421cda909162b5b11e1c0ca7ae03e96,default_3seed
P3C_E0050_S3407_config,configs/p3c_multiseed_sweep/p3c_m4j_es_seed3407_e0050.yml,True,config,1594,001d347fe70ab8e78d5ae3a062f7d37ddf568c614ea6ace0956db8401e7d1e16,default_3seed
P3C_E0050_S3407_checkpoint,experiments/p3b_m4j_es_m4_joint_eshape_seed3407/checkpoints/last.pth,True,checkpoint,725974,c137c35389a0e2861f4fa302d8afb4279e1b548c3f97dcffe2c1fb4bc2747a43,default_3seed
