stage,variant_id,intervention,route_type,gauge_mode,e_shape,gate_prior,structure_preserve,route_floor,uefb_psnr,real_psnr,synthetic_psnr,uefb_E_corr,real_E_corr,synthetic_E_corr,promotion,run_dir,config,log
Phase2 full DGB,DGB_RLEF_MINIMAL_S3407,multiscale_image_stats_gauge_safe_router,recoverability_safe_router,image_stats,,,,,17.75430307197571,19.938993167877197,18.479499568939207,0.5276702798577025,0.6788853275775909,0.8179605707526207,False,/home/user/a1_rlef_project/experiments/phase2_dgb_rlef_minimal_s3407_multiscale_image_stats_gauge_safe_router_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/phase2_dgb_rlef_minimal_s3407_multiscale_image_stats_gauge_safe_router.yml,/home/user/a1_rlef_project/logs/phase2_dgb_candidate/phase2_dgb_rlef_minimal_s3407_multiscale_image_stats_gauge_safe_router.log
P2B controlled isolation,P2B_DGB_GAUGE_ONLY,gauge_only,identity_gate,image_stats,,,,,17.718968555450438,20.431721687316895,18.40170907974243,0.5082217492064228,0.7117646920681,0.8391770997643471,False,/home/user/a1_rlef_project/experiments/p2b_p2b_dgb_gauge_only_image_stats_gauge_original_gate_route_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2b_p2b_dgb_gauge_only_image_stats_gauge_original_gate_route.yml,/home/user/a1_rlef_project/logs/p2b_controlled_isolation/p2b_p2b_dgb_gauge_only_image_stats_gauge_original_gate_route.log
P2B controlled isolation,P2B_DGB_ROUTE_ONLY,route_only,recoverability_safe_router,adaptive_head,,,,,17.71322127532959,19.966537094116212,17.94501919746399,0.46531522733066233,0.6638692811131477,0.8370390674471855,False,/home/user/a1_rlef_project/experiments/p2b_p2b_dgb_route_only_adaptive_gauge_safe_router_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2b_p2b_dgb_route_only_adaptive_gauge_safe_router.yml,/home/user/a1_rlef_project/logs/p2b_controlled_isolation/p2b_p2b_dgb_route_only_adaptive_gauge_safe_router.log
P2C UEFB recovery,P2C_DGB_GATE_FLOOR015,global_route_floor,identity_gate,image_stats,,,,0.15,17.695471151351928,19.65808457374573,17.635049047470094,0.4820942931827158,0.7476908865571023,0.8662491965293885,False,/home/user/a1_rlef_project/experiments/p2c_p2c_dgb_gate_floor015_image_stats_gauge_original_gate_floor015_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2c_p2c_dgb_gate_floor015_image_stats_gauge_original_gate_floor015.yml,/home/user/a1_rlef_project/logs/p2c_uefb_recovery/p2c_p2c_dgb_gate_floor015_image_stats_gauge_original_gate_floor015.log
P2C UEFB recovery,P2C_DGB_GATE_FLOOR025,global_route_floor,identity_gate,image_stats,,,,0.25,17.684406219482423,20.297293701171874,18.356176347732543,0.5338911259234883,0.6514961254596711,0.7922312563657761,False,/home/user/a1_rlef_project/experiments/p2c_p2c_dgb_gate_floor025_image_stats_gauge_original_gate_floor025_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2c_p2c_dgb_gate_floor025_image_stats_gauge_original_gate_floor025.yml,/home/user/a1_rlef_project/logs/p2c_uefb_recovery/p2c_p2c_dgb_gate_floor025_image_stats_gauge_original_gate_floor025.log
P2C UEFB recovery,P2C_DGB_ESHAPE025,reduced_e_shape_weight,identity_gate,image_stats,,,,0.0,17.655403623580934,19.87253040313721,18.186532611846925,0.4878566942629404,0.7079405367374421,0.8387112683057785,False,/home/user/a1_rlef_project/experiments/p2c_p2c_dgb_eshape025_image_stats_gauge_original_route_eshape025_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2c_p2c_dgb_eshape025_image_stats_gauge_original_route_eshape025.yml,/home/user/a1_rlef_project/logs/p2c_uefb_recovery/p2c_p2c_dgb_eshape025_image_stats_gauge_original_route_eshape025.log
P2C UEFB recovery,P2C_DGB_ESHAPE010,reduced_e_shape_weight,identity_gate,image_stats,,,,0.0,17.791856729507447,19.60370762825012,18.587917642593382,0.4722174797245825,0.7304461604356766,0.8125532522797585,False,/home/user/a1_rlef_project/experiments/p2c_p2c_dgb_eshape010_image_stats_gauge_original_route_eshape010_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2c_p2c_dgb_eshape010_image_stats_gauge_original_route_eshape010.yml,/home/user/a1_rlef_project/logs/p2c_uefb_recovery/p2c_p2c_dgb_eshape010_image_stats_gauge_original_route_eshape010.log
P2D real-preserve,P2D_ESHAPE010_STRUCT002,generic_structure_preserve,identity_gate,image_stats,0.01,,0.02,0.0,17.73330606842041,19.781454792022704,18.541954746246336,0.4752013681601966,0.7150781226158142,0.8103042766451836,False,/home/user/a1_rlef_project/experiments/p2d_p2d_eshape010_struct002_eshape010_structure_preserve002_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2d_p2d_eshape010_struct002_eshape010_structure_preserve002.yml,/home/user/a1_rlef_project/logs/p2d_balanced_eshape_real_preserve/p2d_p2d_eshape010_struct002_eshape010_structure_preserve002.log
P2D real-preserve,P2D_ESHAPE010_STRUCT005,generic_structure_preserve,identity_gate,image_stats,0.01,,0.05,0.0,17.863255617141725,19.54091272354126,18.398645191192628,0.4718378476498183,0.6560977983474732,0.7844407498836518,False,/home/user/a1_rlef_project/experiments/p2d_p2d_eshape010_struct005_eshape010_structure_preserve005_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2d_p2d_eshape010_struct005_eshape010_structure_preserve005.yml,/home/user/a1_rlef_project/logs/p2d_balanced_eshape_real_preserve/p2d_p2d_eshape010_struct005_eshape010_structure_preserve005.log
P2E gate-prior,P2E_ESHAPE010_GATEPRI002,image_stat_gate_prior,identity_gate,image_stats,0.01,0.02,,0.0,17.849626226425173,19.487063598632812,18.683455123901368,0.4927912850677967,0.6657541596889496,0.8042544466257096,False,/home/user/a1_rlef_project/experiments/p2e_p2e_eshape010_gatepri002_eshape010_image_stat_gate_prior002_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2e_p2e_eshape010_gatepri002_eshape010_image_stat_gate_prior002.yml,/home/user/a1_rlef_project/logs/p2e_gate_prior_balance/p2e_p2e_eshape010_gatepri002_eshape010_image_stat_gate_prior002.log
P2E gate-prior,P2E_ESHAPE010_GATEPRI005,image_stat_gate_prior,identity_gate,image_stats,0.01,0.05,,0.0,17.660460554122924,19.789192361831667,18.247637243270873,0.45141718269651754,0.7005786281824112,0.8150944590568543,False,/home/user/a1_rlef_project/experiments/p2e_p2e_eshape010_gatepri005_eshape010_image_stat_gate_prior005_seed3407,/home/user/a1_rlef_project/configs/dgb_rlef/p2e_p2e_eshape010_gatepri005_eshape010_image_stat_gate_prior005.yml,/home/user/a1_rlef_project/logs/p2e_gate_prior_balance/p2e_p2e_eshape010_gatepri005_eshape010_image_stat_gate_prior005.log
