variant_id,display,role,dataset,n,reporting_mode,psnr_mean,psnr_std,ssim_mean,ssim_std,lee_mean,lee_std,nai_mean,nai_std,identity_drop_mean,identity_drop_std,q_ece_mean,q_ece_std,over_mean,over_std,under_mean,under_std,E_MAE_mean,E_MAE_std,S_MAE_mean,S_MAE_std,Gauge_MAE_mean,Gauge_MAE_std,S_corr_mean,S_corr_std,E_MAE_aligned_mean,E_MAE_aligned_std,E_corr_mean,E_corr_std,mu_pred_mean,mu_pred_std,mu_gt_mean,mu_gt_std,A_mean_mean,A_mean_std,Q_mean_mean,Q_mean_std,mu_E_mean,mu_E_std
KinD++__log_ratio_lowpass_r8,KinD++ (log_ratio_lowpass_r8),external field-aware adapter,real,100,field_aware,22.210949687957765,3.3663716006492383,0.8410520964860916,0.06132535437497077,0.1481490283086896,0.11996526717976767,4.61040726184845,1.499271836275272,12.492734813690186,4.041915011792853,,,1.699999952052167e-05,8.512159764278301e-05,2.2222222014534053e-06,1.209356048557177e-05,0.15193555404074252,0.1244731621782406,0.0832670199054332,0.03110092541163618,0.11612877290444823,0.13755129243535671,0.9444586568032826,0.0561401399844742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KinD++__log_ratio_lowpass_r8,KinD++ (log_ratio_lowpass_r8),external field-aware adapter,synthetic,100,field_aware,19.259352045059202,3.197593297118178,0.8047349369525909,0.08384172881288601,0.21477956391870975,0.10951672230180035,2.586823433637619,0.8487283213919413,8.038424649238586,3.9487764516447412,,,0.0013311315371629462,0.0037204313255806373,0.008490487567114543,0.017431753581669016,0.24576630862323387,0.12474311970871815,0.1683271831540541,0.10008964425921395,0.19435133860712692,0.13536759065629989,0.9228137618984356,0.1245460900878088,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KinD++__log_ratio_raw,KinD++ (log_ratio_raw),external field-aware adapter,real,100,field_aware,22.210949687957765,3.3663716006492383,0.8410520964860916,0.06132535437497077,0.1481490283086896,0.11996526717976767,4.61040726184845,1.499271836275272,12.492734813690186,4.041915011792853,,,1.699999952052167e-05,8.512159764278301e-05,2.2222222014534053e-06,1.209356048557177e-05,0.18603941620237344,0.11784561161248165,0.12299897078146199,0.04118136501228757,0.11632424055084703,0.13756694846671308,0.8921232413035907,0.0986015933083092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KinD++__log_ratio_raw,KinD++ (log_ratio_raw),external field-aware adapter,synthetic,100,field_aware,19.259352045059202,3.197593297118178,0.8047349369525909,0.08384172881288601,0.21477956391870975,0.10951672230180035,2.586823433637619,0.8487283213919413,8.038424649238586,3.9487764516447412,,,0.0013311315371629462,0.0037204313255806373,0.008490487567114543,0.017431753581669016,0.28205858847308907,0.12914634693232585,0.23775844645834937,0.11648011012558966,0.19574534145001682,0.1363134720782835,0.8674141256006603,0.13987637159543947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Retinexformer__log_ratio_lowpass_r8,Retinexformer (log_ratio_lowpass_r8),external field-aware adapter,real,100,field_aware,22.79388285636902,3.726254908520275,0.8420706051588058,0.04738767793134446,0.1864641983062029,0.11889652235698138,3.2153385400772097,0.9109312965663202,13.075667996406555,4.345805040565687,,,0.0006290555555960964,0.0011664706188375701,0.00035595833288425637,0.0020992315092126217,0.19036344972064548,0.1214190493991421,0.05909639614417103,0.03776060971724313,0.1827491456121577,0.1285381896769636,0.954707211642847,0.0890627555711739,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Retinexformer__log_ratio_lowpass_r8,Retinexformer (log_ratio_lowpass_r8),external field-aware adapter,synthetic,100,field_aware,25.668988761901854,4.968187223045217,0.9285000318288803,0.04543674465893297,0.1250442335009575,0.10184883535836048,2.1598500871658324,0.8825644345559149,14.448061246871948,6.924191565790995,,,0.005218573689066943,0.017767791525222988,0.004482806260216421,0.0199763041355518,0.13623134770201806,0.10883842314333353,0.06566160523502142,0.042862854698937115,0.12651678479398026,0.11403896008530245,0.9893435081489921,0.01819153050834107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Retinexformer__log_ratio_raw,Retinexformer (log_ratio_raw),external field-aware adapter,real,100,field_aware,22.79388285636902,3.726254908520275,0.8420706051588058,0.04738767793134446,0.1864641983062029,0.11889652235698138,3.2153385400772097,0.9109312965663202,13.075667996406555,4.345805040565687,,,0.0006290555555960964,0.0011664706188375701,0.00035595833288425637,0.0020992315092126217,0.20090979255570654,0.11539585584168714,0.08993625141186139,0.04243080674904665,0.18282495441883215,0.12854714343818077,0.9381848661395594,0.08536957115974336,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Retinexformer__log_ratio_raw,Retinexformer (log_ratio_raw),external field-aware adapter,synthetic,100,field_aware,25.668988761901854,4.968187223045217,0.9285000318288803,0.04543674465893297,0.1250442335009575,0.10184883535836048,2.1598500871658324,0.8825644345559149,14.448061246871948,6.924191565790995,,,0.005218573689066943,0.017767791525222988,0.004482806260216421,0.0199763041355518,0.1461243516391008,0.1056255039519814,0.08781986495521782,0.049709614959894705,0.12652251313090515,0.11396638752571353,0.9814133594836365,0.02250129651142008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zero-DCE++__log_ratio_lowpass_r8,Zero-DCE++ (log_ratio_lowpass_r8),external field-aware adapter,real,100,field_aware,18.490733785629274,4.60230826003559,0.5930840206146241,0.16089359184869464,0.4450335358455777,0.3425401980588867,4.98403945684433,0.9566709334215311,8.777532343864442,3.384185762671668,,,9.046015704370802e-05,0.00026879723617901296,0.06697309236682486,0.06728699580337166,0.4965234562177612,0.3832495060039613,0.17439328719455927,0.1086260986668839,0.4859073517931445,0.394148751002654,0.6590072296792303,0.3598578711875346,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zero-DCE++__log_ratio_lowpass_r8,Zero-DCE++ (log_ratio_lowpass_r8),external field-aware adapter,synthetic,100,field_aware,17.57644090652466,3.392294307911632,0.8105815333127976,0.11932198874791097,0.41255780044943097,0.29733379889913464,2.334061104059219,0.5881329737077655,6.355513505935669,5.134669346759632,,,0.009270268192963158,0.019912951028257814,0.029672490214693426,0.053389781558196764,0.4983369350629564,0.3577906142186988,0.2912314224176769,0.23262928808583022,0.4811536212235194,0.37082194301246535,0.7998204362121014,0.23549238245389884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zero-DCE++__log_ratio_raw,Zero-DCE++ (log_ratio_raw),external field-aware adapter,real,100,field_aware,18.490733785629274,4.60230826003559,0.5930840206146241,0.16089359184869464,0.4450335358455777,0.3425401980588867,4.98403945684433,0.9566709334215311,8.777532343864442,3.384185762671668,,,9.046015704370802e-05,0.00026879723617901296,0.06697309236682486,0.06728699580337166,0.5100239784669355,0.3709348092928014,0.2518517579455187,0.1482471220073894,0.4858929815837753,0.39416232522092537,0.39834720236968635,0.42008116216683683,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zero-DCE++__log_ratio_raw,Zero-DCE++ (log_ratio_raw),external field-aware adapter,synthetic,100,field_aware,17.57644090652466,3.392294307911632,0.8105815333127976,0.11932198874791097,0.41255780044943097,0.29733379889913464,2.334061104059219,0.5881329737077655,6.355513505935669,5.134669346759632,,,0.009270268192963158,0.019912951028257814,0.029672490214693426,0.053389781558196764,0.5068474256444581,0.35523223397688974,0.34364575049101487,0.26353343638564675,0.480985157841383,0.37079059021484595,0.7284874660255436,0.26402203397464946,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
